id,nome,marca
4399,"Gerador a Gasolina Monofásico 1,0 Kva 4T",TOYAMA
4400,"Gerador a Gasolina Monofásico 2,2 Kva 4T",TOYAMA
4401,"Gerador a Gasolina Monofásico 6,5 Kva Partida Manual",TOYAMA
4402,"Gerador a Gasolina Monofásico 9,0 Kva Partida Elétrica",TOYAMA
4403,"Gerador À Gasolina VG3800 4T 208CC 7HP 3,00kva Bivolt com Partida Manual",VULCAN
4405,"Gerador de Energia 201027 a Gasolina 7,2 Kw 420 Cc Bivolt 115/230 v Monofásico 25 l",TOYAMA
4406,"Gerador de Energia a Diesel Aberto TDG8500EXP 4T 498CC 7,0 Kva Bivolt Monofásico",TOYAMA
4407,"Gerador de Energia a Diesel com Corrente Alternada 4,6Kva 418 CC 380V Trifásico com Partida Elétrica",SCHULZ
4408,Gerador de Energia a Diesel Monofásico TDG6500BXE 5.5kVA com Partida Elétrica,TOYAMA
4409,Gerador de Energia À Diesel (Ref TDG7000CXE),TOYAMA
4410,Gerador de Energia À Diesel (Ref TDG8000CXE),TOYAMA
4411,"Gerador de Energia À Gasoina TG8000CXEV 371014 6,5KW",TOYAMA
4412,"Gerador de Energia À Gasolina 2T Partida Manual 0,90kVA",VULCAN
4413,"Gerador de Energia À Gasolina 3,0KVA 4T BIVOLT",SCHULZ
4414,Gerador de Energia À Gasolina (Ref TF1200CXW2),TOYAMA
4415,"Gerador de Energia À Gasolina TG12000CXNE 4T 622CC 10,5KVA Monofásico Bivolt",TOYAMA
4416,Gerador de Energia À Gasolina (Ref TG2500CXH),TOYAMA
4417,Gerador de Energia À Gasolina (Ref TG3100CXR),TOYAMA
4418,Gerador de Energia À Gasolina (Ref TG3100CXV),TOYAMA
4419,Gerador de Energia À Gasolina (Ref TG3800CX-XP),TOYAMA
4420,"Gerador de Energia Portátil GM3500 a Gasolina 4T 3,5 Kva Partida Manual Bivolt -40144402",CSM
4421,Grampeador e Pinador Elétrico 220V,STANLEY
4422,Grampeador para Caixa de Papelão 15 a 18mm -PRO-618,PDR
4423,Grampeador Pinador 16 a 40mm -PRO-621,PDR
4424,Grampeador Pneumático,LDR2
4453,Gravador Elétrico 220W,DREMEL
4455,Graxeira Reta Nf Rf -120010015,CISBRA
4456,"Guia Espiral Amarela 3,4m 1,2 - 1,6",ESAB
4457,"Guia Espiral com Isolação 5,4m 0,8mm - 1,0mm",ESAB
4458,"Guia Espiral com Isolação Amarela 5,4M 1,2-1,6",ESAB
4459,"Guia Espiral com Isolação para a Tocha 3,4M 1,0-1,2",ESAB
4460,"Guia Espiral Tbi 914833 Vermelha Isolamento 1,0 - 1,2 5,40 m -914833",ESAB
4463,Guincho de Coluna 500/1000kg HA107-1 -132048,MOTOMIL
4464,Guincho Elétrico C/trole Eletrico 300/600kg Mono220v -71000501,CSM
4466,Guincho Eletrico Monofásico TEC300 sem Caçamba 220V -71000258,CSM
4467,Guincho Hidráulico 1T,BOVENAU
4468,Guincho Hidraúlico 2 TON,RIBEIRO
4469,Guincho Hidráulico 2 Toneladas,BOVENAU
4470,Guincho Hidráulico 3 Toneladas com Prolongador,RIBEIRO
4471,Guincho Hidraúlico 500 kg,RIBEIRO
4472,Guincho Hidráulico com Prolongador,MARCON
4473,Guincho Hidráulico G3000E com Prolongador e Roda de Ferro 3T -G3000E,BOVENAU
4475,Guincho Hidráulico sem Prolongador 1Ton,BOVENAU
4479,Haste P/telha 1/4 X 150,CISER
4480,Haste P/telha Dobrada 1/4 X 100,METALURGICA
4481,Haste para Misturador Elétrico HM-140 600mm -60576,CORTAG
4488,Isolador Tocha MIG (Ref MC440),OXIMIG
4489,Isolador Tocha MIG (Ref TD401),OXIMIG
4490,Jaqueta Aço Zinco e Cone para Chumbador Cb ÂNCORA-JC38,ANCORA
4492,Jaqueta e Cone para Chumbador CBA 1/4' -520022,WALSYWA
4493,Jaqueta e Cone para Chumbador CBA 5/16 -520065,WALSYWA
4494,Jogo 20 Pontas para Parafusar com Estojo Magnético e Extensor Articulável Alto Impacto,DEWALT
4515,Jogo de 15 Pontas para Parafusar com Estojo Magnetico,DEWALT
4516,Jogo de 16 Peças para Parafusar com Guia Magnetica,DEWALT
4517,Jogo de 20 Pontas para Parafusar com Estojo,DEWALT
4518,Jogo de 29 Peças para Parafusadeira com Estojo,DEWALT
4519,Jogo de 37 Peças para Parafusadeira com Estojo,DEWALT
4520,Jogo de Acessórios Compact Kit P/pintura com 3 Peças,SCHULZ
5309,Lona Preta 8x50 20KG,LONAX
9641,"Trincha 519/714 1.1/2""",CONDOR
9642,"Trincha 519/714 1/2""",CONDOR
9643,"Trincha 519/714 1""",CONDOR
9644,"Trincha 519/714 2""",CONDOR
9645,"Trincha 519/714 3/4""",CONDOR
9646,"Trincha 714 3"" -85495",CONDOR
9649,Tripe para Laser Encaixe de 5/8 (1 Peça),DEWALT
9657,Valvula Corta Chama Maçarico Ox,BARBOSA
9658,Valvula Corta Chama Regulador,BARBOSA
9684,Vassourão Gari Profissional 40cm,MAX
9687,Vassourão Tipo Piaçava 60cm,ODIM
9688,Vazador de 7mm 3VN,EDA
9689,Vazador de 8mm 3VO,EDA
9690,Vazador de 9mm 3VP,EDA
9691,Veda Escape Bisnaga 100g,ORBI QUIMICA
9692,Veda Juntas 190 Roxo de 15g,TEKBOND
9693,Veda Juntas Roxo 190 250g,TEKBOND
9694,Veda Rosca Branco 050 50gr,TEKBOND
9697,"Verruma para Arco 6,0Mm X 125mm",IRWIN
9700,Vibrador de Imersão Pendular 32mm 4 Metros,CSM
9707,Vulcanizador para Câmara de Automóveis V300,EMEB
9969,10 Unidades - Origens Angelim,TETO VINÍLICO
10091,Acabamento para Canto Externo PVC Branco,FORTLEV
10095,Acabamento para Canto Interno PVC Branco,FORTLEV
10244,Acabamento Tipo Moldura 6MT Sanca,FORTLEV
10256,Acionador de Caixa Acoplada Dual Flush Preto Fosco,CENSI
10260,Acoplamento para Fogão sem Forno com Anel 74,REFRACON
10266,Adaptador Benjamim Branco,MAR-GIRIUS
10267,Adaptador Benjamim Cinza,MAR-GIRIUS
10296,Acoplador Caixa 20x12 - 32x16 - 40x16 - 50x20,Pial
10316,Acoplador Industrial 16A 2P+T 200/250V 6H IP44 Azul,Steck
10331,Acoplamento 2P+T 16A 110/130V 4H Amarelo IP44 N-3054 NEWKON,Steck
10332,Acoplamento Industrial Blindado 3P+T+N 380/440V 63A 6H IP67,Steck
10341,Acupuntura Automotiva AFT 60,Planatc
10372,Adaptador Angular para Parafusadeira 2 em 1 Comp 90° MAXFIT DWAMRA,Dewalt
10373,"Adaptador Angular para Parafusadeira 1/4"" 14 Peças",Dewalt
10376,"Adaptador Angular 1/4"" para Parafusadeira",Milwaukee
10377,Adaptador Angular para Parafusadeira 4 em 1 Compacto/flex 90° DWAMRASET,Dewalt
10380,Adaptador Benjamim Plugue T 2P+T 10A Branco,Margirius
10381,"Adaptador Angular Universal 1/4"" 57Nm 0614 900 0",Wurth
10408,Adaptador Cado para Veiculos Antigos,Raven
10416,Adaptador Conefit 10 DIN 6535 HA,Prototyp
10464,Aquecedor Digital para Banheira de Hidromassagem de 5000W 220V,OURO FINO
10467,Aquecedor Elétrico Maxi Ultra,LORENZETTI
10471,Aquecedor Elétrico para Banheira Super Hidro Digital,CARDAL
10473,Aquecedor Elétrico para Banheira Super Hidro 2,CARDAL
10475,Aquecedor Individual Elétrico 4 Temperaturas,CARDAL
10476,Aquecedor Eletrônico Branco a Gás 1600D GLP,LORENZETTI
10478,"Adaptador de Pinça 1/4"" X 3mm",Puma
10480,Aquecedor Versátil 127V/5500W Branco Next,LORENZETTI
10501,Argamassa AC2 Flexível Cinza 20kg: o Aliado Perfeito para Seu Projeto,IMAR
10503,Argamassa Interna e Externa ACIII Cinza 20kg,IMAR
10546,Argila Líder 18kg,LIDER
10549,Armário/balcão Branco Suspenso Mônaco em MDF,RORATO
10551,Armário de Banheiro Porta Reversível de Sobrepor Preto 30x37,ASTRA
10552,Armário Plástico de Banheiro de Sobrepor com Porta Reversível 30x37cm,ASTRA
10553,Armário Preto e Branco Suspenso Mônaco em MDF,RORATO
10554,Adaptador M14 para Politriz,Puma
10556,Armário Texturizado com Espelho + Balcão Branco Suspenso Modena,RORATO
10559,Adaptador P/teste do Sistema de Arrefecimento P/veículos VW Até 86,Raven
10560,Arremate PVC Tipo F Castanho 6m,ARAFORROS
10562,Arremate PVC Tipo F Preto 6m,ARAFORROS
10570,Assento de Vaso Sanitário Close PP Boss Branco,INCEPA
10571,Assento Softclose PP Thema Branco,INCEPA
10573,Assento Softclose Universal Polipropileno Branco,INCEPA
10575,Assento Infantil Branco Oval PP,INCEPA
10579,Assento para Vaso Sanitário PP Fit/versato/stylus,LORENZETTI
10584,Assento Sanitário Almofadado Fit Versato TVT/K Preto,ASTRA
10587,Assento Sanitário Almofadado Oval Cinza Claro: Conforto e Estilo em Seu Banheiro,ASTRA
10589,Assento Sanitário Almofadado Thema Biscuit: Conforto e Estilo para Seu Banheiro,ASTRA
10590,Adaptador para Manômetro 700 Bar GA2,Enerpac
10591,Assento Sanitário Almofadado Thema Branco: Conforto e Estilo em Cada Detalhe,ASTRA
10593,Assento Sanitário Almofadado Thema Petro TTHK,ASTRA
10595,Assento Sanitário Almofadado TPK Verde 5,ASTRA
10597,Assento Sanitário Almofadado Convencional Branco: o Toque Final de Conforto e Higiene,ASTRA
10600,Assento Sanitário Almofadado Fit TVTK Branco: Conforto e Qualidade para Seu Banheiro,ASTRA
10602,Assento Sanitário Almofadado Oval 8: Conforto e Elegância para Seu Banheiro,ASTRA
10603,Assento Sanitário Almofadado Oval Calypso Branco 01,ASTRA
10606,Assento Sanitário Almofadado Oval Cinza 1,ASTRA
10607,Assento Sanitário Almofadado Oval Salmão 1,ASTRA
10609,Assento Sanitário Branco Close Oval,ASTRA
10610,Assento Sanitário Gelo Almofadado,ASTRA
10613,Assento Sanitário Oval Almofadado 5,ASTRA
10615,Assento Sanitário Oval Anatômico Branco,ASTRA
10618,Assento Sanitário Pergamon Almofadado Fit,ASTRA
10622,Assento Sanitário Convencional Almofadado TPK Verde 3,ASTRA
10625,Assento Sanitário Preto 01 Oval Almofadado,ASTRA
10629,"Assento Sanitário Elevado com Tampa e Trava 7,5cm",ASTRA
10633,Assento Sanitário PP Close Thema Plus Biscuit,INCEPA
10634,Assento Sanitário Universal Eco PP Biscuit,INCEPA
10638,Assento Sanitário Infantil Branco TPIC/K,ASTRA
10644,Assento Sanitário Oval Almofadado 3 em 1 com Fechamento Suave e Fácil Remoção,ASTRA
10646,Adaptador para Termopar Tipo K -20 a +500 °C 0590 0002,Testo
10647,Assento Sanitário Oval Almofadado Caramelo 1,ASTRA
10648,Assento Sanitário Oval Almofadado TPK Caramelo 2,ASTRA
10651,Assento Sanitário Oval Almofadado TPK Verde 6,ASTRA
10652,Assento Sanitário Redutor Infantil Panda,ASTRA
10655,Adaptador Ponteira 2.5mm X 18mm para Dispensador Peristáltico EQ PU20,Loctite
10656,Adaptador Ponteira 1.6mm X 18mm para Dispensador Peristáltico EQ PU20,Loctite
10659,Adaptador Ponteira 3.2mm X 18mm para Dispensador Peristáltico EQ PU20,Loctite
10662,Azuelejo Ártico Brilhante 32x60cm,INCESA
10663,Azulejo Artico Cetim Acetinado 32x60cm,INCESA
10665,Azulejo Originale Bianco Retificado Acetinado 32x60cm: Elegância e Versatilidade para Seus Ambientes,BIANCOGRES
10667,"Adaptador Rosca Interna 1/4"" SAE 22-A",Tapmatic
10669,"Azulejo Balance Quitan Acetinado 43,2x91cm",CEUSA
10670,Azulejo Originale Nude Retificado Acetinado 32x60cm,BIANCOGRES
10671,Azulejo Tradizionale Beige Brilhante Retificado 32x60 cm,BIANCOGRES
10673,"Azulejo Joaquina Acetinado Branco 43,2X91cm",CEUSA
10676,"Azulejo Joaquina Brilhante 43,2X91cm",CEUSA
10679,Azulejo Ludo Black Acetinado 32x59cm,INCEPA
10680,"Azulejo Sofitel Piramide 2977 43,2x91cm",CEUSA
10681,Azulejo Ins Ludo White Acetinado 32x59cm,INCEPA
10683,Azulejo Plus Seattle White Acetinado 30x60cm,INCEPA
10684,Azulejo Plus White Acetinado 30x60cm,INCEPA
10687,"Azulejo Jazz DGR Matte 33,3x100cm",PORTINARI
10690,"Azulejo Jazz WH Matte 33,3x100cm",PORTINARI
10691,Azulejo Cubic STEEL Cobre Metalizado 30x60cm,ROCA
10694,Azulejo Rig Legno Retificado Acetinado 32x60cm,BIANCOGRES
10695,Azulejo London Trace Gray Acetinado 30x60cm,ROCA
10697,Azulejo Tradizionale Bianco Brilhante Retificado 32x60cm,BIANCOGRES
10705,Bacia Europa Redondo Cimento Decorativo 20x55x55cm,JAPI
10707,Adaptador Universal para Teste do Sistema de Arrefecimento,Raven
10708,Balde Plástico Preto: Resistência e Versatilidade para o Dia a Dia,CORTAG
10711,Balde de Plástico para Obra Preto 12L,VARIADOS
10718,Conheça o Balde Granffino Pedras Naturais Cinza Claro,HYDRONORTH
10719,Conheça o Balde Granffino Pedras Naturais Cinza Escuro,HYDRONORTH
10721,Conheça o Balde Granffino Pedras Naturais Marrocos,HYDRONORTH
10724,Conheça o Balde Granffino Pedras Naturais Palha,HYDRONORTH
10731,Balde Textura Riscada 23kg,EUCATEX
10742,Bandeja em Metal Cobre 24cm,MART
10743,Bandeja em Metal Dourada 24 cm,MART
10746,Banheira Acrilbath Dupla Topline 170x115cm Top Line,OURO FINO
10751,Banheira Hidromassagem Dupla Cristal 170cmx110cm 220V,OURO FINO
10754,Descubra a Experiência Única da Banheira Mavie Imersão 165x69 Branco,OURO FINO
10755,Banheira Cristal com Hidromassagem 150x80cm Branca,OURO FINO
10757,Barra de Apoio Branca em PVC 40cm,ASTRA
10760,Barra de Apoio em Alumínio Cromado de Parede Talita Oca 30cm,METAIS TALITA
10761,Barra de Apoio Preta em PVC 40cm,ASTRA
10763,Barra de Apoio Reta Inox 60cm: Segurança e Estilo em Cada Detalhe,ASTRA
10766,Barra de Apoio Reta Inox 40cm: Segurança e Funcionalidade em Espaços Modernos,ASTRA
10768,Barra de Apoio Reta Inox 70cm: Segurança e Conforto no Seu Dia a Dia,ASTRA
10769,Barra de Apoio Reta Inox 80cm: Segurança e Conforto em Ambientes Funcionais,ASTRA
10771,Barra de Apoio Talita Alumínio 50cm 1.1/4,METAIS TALITA
10773,Barra de Apoio Reta em PVC 60cm Branca,ASTRA
10776,Barra de Apoio Talita Alumínio 80cm 1. 1/4,METAIS TALITA
10778,Barra de Apoio Talita de Alumínio Cromada 45° Graus 60cm,METAIS TALITA
10779,"Barra Metalon Cida 20x20mm 1,20mm 6M",GERAL
10781,"Barra Metalon Cida 20x20cm 0,90mm 6 Metros",GERAL
10835,Base Plástica para Ombrelone Guarda Sol: Estabilidade e Proteção para Seus Momentos ao Ar Livre,MOR
10847,Batedeira Chef SM02 127V Preta,ARNO
10848,Batedor para Argamassa 40cm,CORTAG
10849,Batedeira Chef SM02 127V Vermelha,ARNO
10856,Biodigestor 1.500L Preto,TECNIPAR
10858,Biodigestor 750L Preto,TECNIPAR
10884,Botão Pneumático ABS Cromado,OURO FINO
10891,Braseiro de Embutir 64 55x40cm,REFRACON
10895,Braseiro de Embutir 74 61x18cm,REFRACON
10921,"Aerógrafo com Bico 0,3mm Ação Simples ALFA 4",Arprex
10963,Aguarrás 5L,Itaqua
10964,Agulha Aplicadora 12.7mm Calibre 15 Ambar 50 Peças,Loctite
10965,Agulha Aplicadora 12.7mm Calibre 18 Verde 50 Peças,Loctite
10970,Agulha Aplicadora 12.7mm Calibre 20 Rosa 50 Peças,Loctite
10972,Agulha Aplicadora 12.7mm Calibre 25 Vermelha 50 Peças,Loctite
10973,Agulha Aplicadora 25.4mm Calibre 18 Verde 50 Peças,Loctite
10974,Agulha Aplicadora 38mm Calibre 15 Ambar 50 Peças,Loctite
10977,Agulha Aplicadora 38mm Calibre 18 Verde 50 Peças,Loctite
10978,Agulha Aplicadora 38mm Calibre 20 Rosa 50 Peças,Loctite
10980,Agulha Aplicadora Cônica 30mm Calibre 16 Cinza 50 Peças,Loctite
10982,Agulha Aplicadora Cônica 30mm Calibre 18 Verde 50 Peças,Loctite
10985,Agulha Aplicadora Cônica 30mm Calibre 20 Rosa 50 Peças,Loctite
10987,Agulha Aplicadora Cônica 30mm Calibre 22 Azul 50 Peças,Loctite
10989,Agulha de Fluído DEX 1.8mm para,Devilbiss
10990,Agulha de Fluído FX 1.1MM para,Devilbiss
10996,Agulha Fluido 1.2mm,Devilbiss
11003,Alagardor para Pinos em Aço Rápido Din 9A 12.00mm Canal Reto 1:50 5501,Indaco
11006,Alagardor para Pinos em Aço Rápido Din 9A 4.00mm Canal Reto 1:50 5501,Indaco
11007,Agulhas para Desincrustador Pneumático 3mm X 180mm com 100 Peças,Sigma Tools
11008,Alagardor para Pinos em Aço Rápido Din 9A 10.00mm Canal Reto 1:50 5501,Indaco
11009,Alagardor para Pinos em Aço Rápido Din 9A 5.00mm Canal Reto 1:50 5501,Indaco
11010,Alagardor para Pinos em Aço Rápido Din 9B 10.00mm Canal Helicoidal 1:50 5502,Indaco
11011,Alagardor para Pinos em Aço Rápido Din 9A 6.00mm Canal Reto 1:50 5501,Indaco
11012,Alagardor para Pinos em Aço Rápido Din 9B 5.00mm Canal em Helicoidal 1:50 5502,Indaco
11014,Alagardor para Pinos em Aço Rápido Din 9B 8.00mm Canal Helicoidal 1:50 5502,Indaco
11063,Cabeceira de Calha 30 Moldada Par E/D,ONDAPLUV
11071,Cabeceira P/calha Moldura 25,RAFER
11074,Cabeceira P/calha Moldura 30,RAFER
11107,Cabide Hotels Black Matte,ROCA
11109,Cabide Trend Brushed,LORENZETTI
11112,Cabide de Parede de Banheiro Way Cromado,LORENZETTI
11118,Cabide Preto Loren Loft: Elegância e Funcionalidade para o Seu Banheiro,LORENZETTI
11121,Cabide Simples de Gancho Valle Metais Black,VALLEMETAL
11124,Cabide Simples Soul em Aço Escovado,KROMMA
11127,Cabide Simples Loren Vogue Cromado,LORENZETTI
11130,Cabide Tempo Rg,ROCA
11195,Cachepot 11883 em Cimento Terracota 15cm,MART
11197,Cachepot 12855 em Cimento Terracota com Suporte 13 cm,MART
11198,Cachepot 12870 Rose Cerâmica 10cm,MART
11201,Cachepot 13453 em Cimento Preto 15 cm,MART
11203,Cachepot 13470 em Cimento Preto 14cm,MART
11204,Cachepot Branco Cerâmica 13cm,MART
11205,Cachepot 13502 em Cimento 13x15cm,MART
11206,Cachepot 13480 em Cimento Gato Terracota 10X10cm,MART
11209,Cadeado Haste Longa,PADO
11213,Cadeado Latão 20mm,PADO
11227,Cadeira de Aço Alta Azul Marine Xadrez,MOR
11230,Cadeira de Aço Oliva Alta Verde Xadrez,MOR
11233,Cadeira Poltrona Boa Vista Preta Antares,ANTARES PLASTICOS
11252,Caixa Acoplada para Vaso Sanitário Ecoflush TP Calipso Branca 3/6L,INCEPA
11257,Caixa Acoplada para Vaso Sanitário Ecoflush Thema Branco 3/6L,INCEPA
11260,Caixa Azul para Massa 20L,AFORT
11265,Caixa D'água de Polietileno (Ref 250LTS),FORTLEV
11267,Caixa D'água de Polietileno 750L,FORTLEV
11268,Caixa D'água de Polietileno 1.000L,FORTLEV
11273,Caixa D'água de Polietileno 150 Litros,FORTLEV
11274,Caixa D'água de Polietileno 100L,FORTLEV
11275,Caixa D'água de Polietileno 2.000L,FORTLEV
11278,Caixa D'água de Polietileno 3.000 Litros,FORTLEV
11280,Caixa D'água de Polietileno 310L,FORTLEV
11281,Caixa D'água de Polietileno 500L: Armazenamento Seguro e Eficiente,FORTLEV
11283,Caixa D'água de Polietileno,FORTLEV
11286,Caixa D'água Polietileno 1.500 Litros,FORTLEV
11288,Caixa de Descarga Branca 9Lts - Eficiência e Durabilidade,ASTRA
11295,Caixa de Gordura com Tampa Oculta Invisivel,ASTRA
11335,Caixa de Sobrepor 1 Posto Branco C/suporte 75x75mm,SLEEK
11338,Caixa de Sobrepor 2 Postos Branco C/suporte 75x75mm,SLEEK
11340,Caixa D’água de Polietileno 10.000L,FORTLEV
11349,Caixa para Acoplar Art 50560 Ecoflush 3/6 Litros Branca,INCEPA
11353,Caixa para Acoplar Ecoflush Boss 89570 Branco,INCEPA
11354,"Alavnca Redonda Corrugada 1"" 1800 Metros 105",Costa
11356,Caixa para Vaso Acoplado Ecoflush 3/6 Litros Boss Onix,INCEPA
11360,Álcool Gel 70% 500ml 2558 CLIVÊ,Clive
11361,Álcool Gel 70% 60ml 38661 CLIVÊ,Clive
11363,Álcool Líquido 70% 5 Litros Bombona 40654 CLIVÊ,Clive
11365,Álcool Gel 70% Bombona 5 Litros CLIVÊ,Clive
11388,Cal Hidratada Especial para Pintura 7kg,ICAL
11391,Calafetador Bisnaga Híbrido 400g,SANTA LUZIA
11393,Calço para Telha Ondulada Onda Leve Branco,AFORT
11398,Calha Galvanizada de,RAFER
11399,Calha Galvanizada Moldura 25cm C/6M,RAFER
11412,Cantoneira Externa Fiji 3×20 cm,ATLAS
11486,Calha Galvanizada Moldura 30cm C/6M,RAFER
11503,"Cantoneira Alumínio 3/4"" 3 Metros",NOVO HORIZONTE
11510,Carro de Mão com Pneu e Câmara de Ar 60L,METALOSA
11512,Carro de Mão Metalforte M20,METALOSA
11516,Catela Dobradiça 3.1/2,TOLEMAT
11530,Chapa Galvanizada N26 30cm,RAFER
11531,Chapéu Chinês 304 em Inox 9'',REFRACON
11533,Chapéu Chines Inox 304 5 Polegadas,REFRACON
11545,Churrasqueira Mesclada,REFRACON
11547,Churrasqueira Mini Mesclada,REFRACON
11550,Churrasqueira Pré-moldada Natural,REFRACON
11552,Churrasqueira Pré-moldada Predial 74cm Natural,REFRACON
11554,Churrasqueira Predial Ref:64,REFRACON
11711,Cimento de Alta Resistência CPIII RS 50kg,CSN
11767,Colher para Pedreiro Reta n°8,CORTAG
11774,Coluna para Pia de Banheiro Eros Branca,INCEPA
11780,Coluna para Pia de Banheiro Suspensa Hall Branca,ROCA
11781,Coluna para Pia de Banheiro Suspensa Nexo Branca,ROCA
11784,Coluna para Pia de Banheiro Suspenso Thema Biscuit,INCEPA
11787,Coluna de Mármore Sintético para Tanque Gelo,RORATO
11790,Coluna Marmore Sintetico para Tanque Preto,RORATO
11849,Conjunto de Fixação para Bacia Cromado,INCEPA
11861,Conjunto Vaso e Prato Match 45 Cimento Queimado,JAPI
11879,Copo 13659 em Cimento 10cm Porta Objetos,MART
11882,Copo em Cerâmica Porta Objetos 8cm,MART
11899,Corda Multiuso 6mmx10m: Resistência e Versatilidade para o Dia a Dia,CORTAG
11901,"Corda Multiuso – 6,0 mm X 20 m",CORTAG
